step	train_loss
0	1.2901342777286176
1	0.6795080205971363
2	0.5179414710298382
3	0.4188574217304374
4	0.40975717775800613
5	0.3401491278320904
6	0.3172801522842822
7	0.3037048315371321
8	0.2773987688358679
9	0.24562913051445
